EnrollmentID,StudentID,LeadID,CourseID,ManagerID,EnrollmentDate,CohortID,CourseStartDate,ExpectedEndDate,ActualCompletionDate,EnrollmentStatus,AgreedPrice,DiscountPercent,Currency,PaymentPlan,AcquisitionSource,CancellationDate,CancellationReason,CertificateEligible,CertificateIssuedDate,LateEnrollment
ENR000001,STU000001,LEAD0000018,CRS0008,MGR0002,2024-01-03,COH00090,2024-01-14,2024-02-04,,Dropped,0.0,0,USD,Free,google,,,False,,False
ENR000002,STU000002,LEAD0000061,CRS0001,MGR0008,2024-01-09,COH00001,2024-01-17,2024-04-10,,Dropped,3690.8,0,PLN,Full,google,,,False,,False
ENR000003,STU000003,LEAD0000087,CRS0012,MGR0004,2024-01-03,COH00152,2024-02-14,2024-07-24,2024-08-01,Completed,662.9,15,USD,Full,meta,,,True,,False
ENR000004,STU000004,LEAD0000123,CRS0015,MGR0005,2024-01-15,COH00198,2024-02-12,2024-03-04,2024-03-01,Completed,0.0,0,EUR,Free,telegram,,,False,,False
ENR000005,STU000005,LEAD0000301,CRS0017,MGR0007,2024-01-04,COH00231,2024-01-20,2024-07-06,2024-07-02,Completed,22320.0,20,UAH,Installments,google,,,True,2024-07-19,False
ENR000006,STU000006,LEAD0000060,CRS0012,MGR0008,2024-01-06,COH00152,2024-02-14,2024-07-24,2024-07-19,Completed,2666.18,15,PLN,Installments,email,,,True,,False
ENR000007,STU000007,LEAD0000035,CRS0005,MGR0003,2024-01-16,COH00052,2024-02-20,2024-04-02,2024-04-09,Completed,15937.59,0,CZK,Installments,google,,,True,2024-04-16,False
ENR000008,STU000008,LEAD0000032,CRS0015,MGR0007,2024-01-07,COH00197,2024-01-15,2024-02-05,,Dropped,0.0,0,UAH,Free,telegram,,,False,,False
ENR000009,STU000009,LEAD0000214,CRS0014,MGR0002,2024-01-17,COH00185,2024-03-13,2024-07-03,,Dropped,12123.25,0,CZK,Full,organic,,,False,,False
ENR000010,STU000010,LEAD0000082,CRS0008,MGR0006,2024-01-06,COH00090,2024-01-14,2024-02-04,2024-02-03,Completed,0.0,0,UAH,Free,meta,,,False,,False
ENR000011,STU000011,LEAD0000157,CRS0015,MGR0008,2024-01-11,COH00197,2024-01-15,2024-02-05,,Dropped,0.0,0,UAH,Free,meta,,,False,,False
ENR000012,STU000012,LEAD0000471,CRS0015,MGR0008,2024-01-11,COH00197,2024-01-15,2024-02-05,2024-02-10,Completed,0.0,0,UAH,Free,email,,,False,,False
ENR000013,STU000013,LEAD0000466,CRS0005,MGR0002,2024-01-14,COH00052,2024-02-20,2024-04-02,2024-04-06,Completed,605.34,10,USD,Full,referral,,,True,2024-04-18,False
ENR000014,STU000014,LEAD0000095,CRS0008,MGR0002,2024-01-13,COH00090,2024-01-14,2024-02-04,,Dropped,0.0,0,UAH,Free,dou,,,False,,False
ENR000015,STU000015,LEAD0000611,CRS0014,MGR0002,2024-01-10,COH00184,2024-01-17,2024-05-08,,Cancelled,389.15,25,USD,Full,instagram,2024-03-05,Financial,False,,False
ENR000016,STU000016,LEAD0000091,CRS0015,MGR0004,2024-01-15,COH00198,2024-02-12,2024-03-04,,Dropped,0.0,0,UAH,Free,meta,,,False,,False
ENR000017,STU000017,LEAD0000417,CRS0008,MGR0006,2024-01-08,COH00090,2024-01-14,2024-02-04,2024-02-02,Completed,0.0,0,UAH,Free,google,,,False,,False
ENR000018,STU000018,LEAD0000355,CRS0013,MGR0007,2024-01-15,COH00170,2024-02-26,2024-05-06,2024-05-08,Completed,604.59,0,EUR,Full,meta,,,True,2024-05-28,False
ENR000019,STU000019,LEAD0000476,CRS0008,MGR0008,2024-01-09,COH00090,2024-01-14,2024-02-04,2024-01-30,Completed,0.0,0,UAH,Free,meta,,,False,,False
ENR000020,STU000020,LEAD0000662,CRS0001,MGR0007,2024-01-12,COH00001,2024-01-17,2024-04-10,2024-04-22,Completed,26320.0,30,UAH,Full,organic,,,True,2024-04-28,False
ENR000021,STU000021,LEAD0000372,CRS0008,MGR0002,2024-01-14,COH00091,2024-02-11,2024-03-03,,Dropped,0.0,0,UAH,Free,referral,,,False,,False
ENR000022,STU000022,LEAD0000068,CRS0017,MGR0003,2024-01-12,COH00231,2024-01-20,2024-07-06,2024-07-01,Completed,20925.0,25,UAH,Full,organic,,,True,2024-07-21,False
ENR000023,STU000023,LEAD0000175,CRS0015,MGR0005,2024-01-19,COH00198,2024-02-12,2024-03-04,2024-03-05,Completed,0.0,0,UAH,Free,organic,,,False,,False
ENR000024,STU000024,LEAD0000379,CRS0008,MGR0002,2024-01-10,COH00090,2024-01-14,2024-02-04,,Dropped,0.0,0,UAH,Free,telegram,,,False,,False
ENR000025,STU000025,LEAD0000893,CRS0014,MGR0008,2024-01-11,COH00184,2024-01-17,2024-05-08,2024-05-02,Completed,9614.42,20,CZK,Installments,referral,,,True,2024-05-13,False
ENR000026,STU000026,LEAD0000028,CRS0015,MGR0003,2024-01-17,COH00198,2024-02-12,2024-03-04,,Dropped,0.0,0,EUR,Free,google,,,False,,False
