Date,Currency,BaseCurrency,ExchangeRate
2024-01-01,UAH,UAH,1.0
2024-01-02,UAH,UAH,1.0
2024-01-03,UAH,UAH,1.0
2024-01-04,UAH,UAH,1.0
2024-01-05,UAH,UAH,1.0
2024-01-06,UAH,UAH,1.0
2024-01-07,UAH,UAH,1.0
2024-01-08,UAH,UAH,1.0
2024-01-09,UAH,UAH,1.0
2024-01-10,UAH,UAH,1.0
2024-01-11,UAH,UAH,1.0
2024-01-12,UAH,UAH,1.0
2024-01-13,UAH,UAH,1.0
2024-01-14,UAH,UAH,1.0
2024-01-15,UAH,UAH,1.0
2024-01-16,UAH,UAH,1.0
2024-01-17,UAH,UAH,1.0
2024-01-18,UAH,UAH,1.0
2024-01-19,UAH,UAH,1.0
2024-01-20,UAH,UAH,1.0
2024-01-21,UAH,UAH,1.0
2024-01-22,UAH,UAH,1.0
2024-01-23,UAH,UAH,1.0
2024-01-24,UAH,UAH,1.0
2024-01-25,UAH,UAH,1.0
2024-01-26,UAH,UAH,1.0
2024-01-27,UAH,UAH,1.0
2024-01-28,UAH,UAH,1.0
2024-01-29,UAH,UAH,1.0
2024-01-30,UAH,UAH,1.0
2024-01-31,UAH,UAH,1.0
2024-02-01,UAH,UAH,1.0
2024-02-02,UAH,UAH,1.0
2024-02-03,UAH,UAH,1.0
2024-02-04,UAH,UAH,1.0
2024-02-05,UAH,UAH,1.0
2024-02-06,UAH,UAH,1.0
2024-02-07,UAH,UAH,1.0
2024-02-08,UAH,UAH,1.0
2024-02-09,UAH,UAH,1.0
2024-02-10,UAH,UAH,1.0
2024-02-11,UAH,UAH,1.0
2024-02-12,UAH,UAH,1.0
2024-02-13,UAH,UAH,1.0
2024-02-14,UAH,UAH,1.0
2024-02-15,UAH,UAH,1.0
2024-02-16,UAH,UAH,1.0
2024-02-17,UAH,UAH,1.0
2024-02-18,UAH,UAH,1.0
2024-02-19,UAH,UAH,1.0
2024-02-20,UAH,UAH,1.0
2024-02-21,UAH,UAH,1.0
2024-02-22,UAH,UAH,1.0
2024-02-23,UAH,UAH,1.0
2024-02-24,UAH,UAH,1.0
2024-02-25,UAH,UAH,1.0
2024-02-26,UAH,UAH,1.0
2024-02-27,UAH,UAH,1.0
2024-02-28,UAH,UAH,1.0
2024-02-29,UAH,UAH,1.0
2024-03-01,UAH,UAH,1.0
2024-03-02,UAH,UAH,1.0
2024-03-03,UAH,UAH,1.0
2024-03-04,UAH,UAH,1.0
2024-03-05,UAH,UAH,1.0
2024-03-06,UAH,UAH,1.0
2024-03-07,UAH,UAH,1.0
2024-03-08,UAH,UAH,1.0
2024-03-09,UAH,UAH,1.0
2024-03-10,UAH,UAH,1.0
2024-03-11,UAH,UAH,1.0
2024-03-12,UAH,UAH,1.0
2024-03-13,UAH,UAH,1.0
2024-03-14,UAH,UAH,1.0
2024-03-15,UAH,UAH,1.0
2024-03-16,UAH,UAH,1.0
2024-03-17,UAH,UAH,1.0
2024-03-18,UAH,UAH,1.0
2024-03-19,UAH,UAH,1.0
2024-03-20,UAH,UAH,1.0
2024-03-21,UAH,UAH,1.0
2024-03-22,UAH,UAH,1.0
2024-03-23,UAH,UAH,1.0
2024-03-24,UAH,UAH,1.0
2024-03-25,UAH,UAH,1.0
2024-03-26,UAH,UAH,1.0
2024-03-27,UAH,UAH,1.0
2024-03-28,UAH,UAH,1.0
2024-03-29,UAH,UAH,1.0
2024-03-30,UAH,UAH,1.0
2024-03-31,UAH,UAH,1.0
2024-04-01,UAH,UAH,1.0
2024-04-02,UAH,UAH,1.0
2024-04-03,UAH,UAH,1.0
2024-04-04,UAH,UAH,1.0
2024-04-05,UAH,UAH,1.0
2024-04-06,UAH,UAH,1.0
2024-04-07,UAH,UAH,1.0
2024-04-08,UAH,UAH,1.0
2024-04-09,UAH,UAH,1.0
2024-04-10,UAH,UAH,1.0
2024-04-11,UAH,UAH,1.0
2024-04-12,UAH,UAH,1.0
2024-04-13,UAH,UAH,1.0
2024-04-14,UAH,UAH,1.0
2024-04-15,UAH,UAH,1.0
2024-04-16,UAH,UAH,1.0
2024-04-17,UAH,UAH,1.0
2024-04-18,UAH,UAH,1.0
2024-04-19,UAH,UAH,1.0
2024-04-20,UAH,UAH,1.0
2024-04-21,UAH,UAH,1.0
2024-04-22,UAH,UAH,1.0
2024-04-23,UAH,UAH,1.0
2024-04-24,UAH,UAH,1.0
2024-04-25,UAH,UAH,1.0
2024-04-26,UAH,UAH,1.0
2024-04-27,UAH,UAH,1.0
2024-04-28,UAH,UAH,1.0
2024-04-29,UAH,UAH,1.0
2024-04-30,UAH,UAH,1.0
2024-05-01,UAH,UAH,1.0
2024-05-02,UAH,UAH,1.0
2024-05-03,UAH,UAH,1.0
2024-05-04,UAH,UAH,1.0
2024-05-05,UAH,UAH,1.0
2024-05-06,UAH,UAH,1.0
2024-05-07,UAH,UAH,1.0
2024-05-08,UAH,UAH,1.0
2024-05-09,UAH,UAH,1.0
2024-05-10,UAH,UAH,1.0
2024-05-11,UAH,UAH,1.0
2024-05-12,UAH,UAH,1.0
2024-05-13,UAH,UAH,1.0
2024-05-14,UAH,UAH,1.0
2024-05-15,UAH,UAH,1.0
2024-05-16,UAH,UAH,1.0
2024-05-17,UAH,UAH,1.0
2024-05-18,UAH,UAH,1.0
2024-05-19,UAH,UAH,1.0
2024-05-20,UAH,UAH,1.0
2024-05-21,UAH,UAH,1.0
2024-05-22,UAH,UAH,1.0
2024-05-23,UAH,UAH,1.0
2024-05-24,UAH,UAH,1.0
2024-05-25,UAH,UAH,1.0
2024-05-26,UAH,UAH,1.0
2024-05-27,UAH,UAH,1.0
2024-05-28,UAH,UAH,1.0
2024-05-29,UAH,UAH,1.0
2024-05-30,UAH,UAH,1.0
2024-05-31,UAH,UAH,1.0
2024-06-01,UAH,UAH,1.0
2024-06-02,UAH,UAH,1.0
2024-06-03,UAH,UAH,1.0
2024-06-04,UAH,UAH,1.0
2024-06-05,UAH,UAH,1.0
2024-06-06,UAH,UAH,1.0
2024-06-07,UAH,UAH,1.0
2024-06-08,UAH,UAH,1.0
2024-06-09,UAH,UAH,1.0
2024-06-10,UAH,UAH,1.0
2024-06-11,UAH,UAH,1.0
2024-06-12,UAH,UAH,1.0
2024-06-13,UAH,UAH,1.0
2024-06-14,UAH,UAH,1.0
2024-06-15,UAH,UAH,1.0
2024-06-16,UAH,UAH,1.0
2024-06-17,UAH,UAH,1.0
2024-06-18,UAH,UAH,1.0
2024-06-19,UAH,UAH,1.0
2024-06-20,UAH,UAH,1.0
2024-06-21,UAH,UAH,1.0
2024-06-22,UAH,UAH,1.0
2024-06-23,UAH,UAH,1.0
2024-06-24,UAH,UAH,1.0
2024-06-25,UAH,UAH,1.0
2024-06-26,UAH,UAH,1.0
2024-06-27,UAH,UAH,1.0
2024-06-28,UAH,UAH,1.0
2024-06-29,UAH,UAH,1.0
2024-06-30,UAH,UAH,1.0
2024-07-01,UAH,UAH,1.0
2024-07-02,UAH,UAH,1.0
2024-07-03,UAH,UAH,1.0
2024-07-04,UAH,UAH,1.0
2024-07-05,UAH,UAH,1.0
2024-07-06,UAH,UAH,1.0
2024-07-07,UAH,UAH,1.0
2024-07-08,UAH,UAH,1.0
2024-07-09,UAH,UAH,1.0
2024-07-10,UAH,UAH,1.0
2024-07-11,UAH,UAH,1.0
2024-07-12,UAH,UAH,1.0
2024-07-13,UAH,UAH,1.0
2024-07-14,UAH,UAH,1.0
2024-07-15,UAH,UAH,1.0
2024-07-16,UAH,UAH,1.0
2024-07-17,UAH,UAH,1.0
2024-07-18,UAH,UAH,1.0
