Date,Source,Medium,Campaign,Country,DeviceType,Impressions,Clicks,Sessions,LeadsReported,Spend,Currency,SpendBaseCurrency,PlatformConversions,CampaignObjective,CampaignStatus,CampaignNormalized,SpendBaseCurrencyUnresolvedFlag,ClicksImpressionsAnomalyFlag
2024-01-01,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,6309,241,218,6,0.0,UAH,0.0,1,Conversions,Paused,search - qa - ukraine,False,False
2024-01-02,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,10145,494,429,12,0.0,UAH,0.0,2,Conversions,Paused,search - qa - ukraine,False,False
2024-01-03,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,1555,59,45,0,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-04,google,cpc,Search - QA - Ukraine,Ukraine,Tablet,7460,179,136,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-05,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,5900,325,314,7,0.0,UAH,0.0,1,Conversions,Paused,search - qa - ukraine,False,False
2024-01-06,google,cpc,Search - QA - Ukraine,Germany,Mobile,6440,338,272,6,0.0,UAH,0.0,1,Conversions,Paused,search - qa - ukraine,False,False
2024-01-07,google,cpc,Search - QA - Ukraine,Czech Republic,Mobile,1390,66,54,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-08,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,978,46,35,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-09,google,cpc,Search - QA - Ukraine,Czech Republic,Mobile,1982,61,48,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-10,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,1994,64,60,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-11,google,cpc,Search - QA - Ukraine,Czech Republic,Mobile,1633,57,53,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-12,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,3757,141,117,3,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-13,google,cpc,Search - QA - Ukraine,United States,Mobile,2471,100,86,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-14,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,3052,143,114,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-15,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,626,26,20,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-16,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,1072,41,36,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-17,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,4386,237,225,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
