PaymentID,LeadID,StudentID,EnrollmentID,ManagerID,CourseID,PaymentDate,PaymentType,InstallmentNumber,InstallmentCount,GrossAmount,DiscountAmount,RefundAmount,ProcessingFee,NetAmount,Currency,ExchangeRateToBase,GrossAmountBase,NetAmountBase,PaymentMethod,PaymentProvider,PaymentStatus,RefundDate,RefundReason,InvoiceNumber,IsTestPayment,CurrencyNormalized,RefundStatusIsInconsistent,InvoiceNumberNormalized,InvoiceNumberIsMalformed,IsFinancialKPIEligible,FXRateApplied,FXRateSource
PAY0000001,LEAD0000061,STU000002,ENR000002,MGR0008,CRS0001,2024-01-15,Full,1,1,3690.8,0.0,0.0,0.0,3690.8,PLN,10.1015,37282.62,37282.62,Card,WayForPay,Canceled,,,INV-2024-000001,False,PLN,False,INV-2024-000001,False,False,10.1015,ExchangeRates Exact Lookup
PAY0000002,LEAD0000087,STU000003,ENR000003,MGR0004,CRS0012,2024-01-04,Full,1,1,779.88,116.98,0.0,17.12,645.78,USD,41.5325,32390.37,26820.86,Card,WayForPay,Completed,,,INV-2024-000002,False,USD,False,INV-2024-000002,False,True,41.5325,ExchangeRates Exact Lookup
PAY0000003,LEAD0000301,STU000005,ENR000005,MGR0007,CRS0017,2024-01-07,Installment,1,3,9300.0,1860.0,0.0,175.31,7264.69,UAH,1.0,9300.0,7264.69,Card,WayForPay,Completed,,,INV-2024-000003,False,UAH,False,INV-2024-000003,False,True,1.0,ExchangeRates Exact Lookup
PAY0000004,LEAD0000301,STU000005,ENR000005,MGR0007,CRS0017,2024-02-09,Installment,2,3,9300.0,1860.0,0.0,136.36,7303.64,UAH,1.0,9300.0,7303.64,Card,WayForPay,Completed,,,INV-2024-000004,False,UAH,False,INV-2024-000004,False,True,1.0,ExchangeRates Exact Lookup
PAY0000005,LEAD0000301,STU000005,ENR000005,MGR0007,CRS0017,2024-03-05,Installment,3,3,9300.0,1860.0,0.0,169.06,7270.94,UAH,1.0,9300.0,7270.94,Card,WayForPay,Completed,,,INV-2024-000005,False,UAH,False,INV-2024-000005,False,True,1.0,ExchangeRates Exact Lookup
PAY0000006,LEAD0000060,STU000006,ENR000006,MGR0008,CRS0012,2024-01-11,Installment,1,2,1568.34,235.25,0.0,21.41,1311.68,PLN,10.0789,15807.14,13220.29,BankTransfer,USDT,Completed,,,INV-2024-000006,False,PLN,False,INV-2024-000006,False,True,10.0789,ExchangeRates Exact Lookup
PAY0000007,LEAD0000060,STU000006,ENR000006,MGR0008,CRS0012,2024-02-05,Installment,2,2,1568.34,235.25,0.0,20.23,1312.86,PLN,10.3419,16219.62,13577.47,BankTransfer,USDT,Completed,,,INV-2024-000007,False,PLN,False,INV-2024-000007,False,True,10.3419,ExchangeRates Exact Lookup
PAY0000008,LEAD0000035,STU000007,ENR000007,MGR0003,CRS0005,2024-01-22,Installment,1,3,5312.53,0.0,0.0,102.51,5210.02,CZK,1.7929,9524.84,9341.04,Wise,WayForPay,Completed,,,INV-2024-000008,False,CZK,False,INV-2024-000008,False,True,1.7929,ExchangeRates Exact Lookup
PAY0000009,LEAD0000035,STU000007,ENR000007,MGR0003,CRS0005,2024-02-18,Installment,2,3,5312.53,0.0,0.0,70.15,5242.38,CZK,1.8299,9721.4,9593.03,Wise,WayForPay,Completed,,,INV-2024-000009,False,CZK,False,INV-2024-000009,False,True,1.8299,ExchangeRates Exact Lookup
PAY0000010,LEAD0000035,STU000007,ENR000007,MGR0003,CRS0005,2024-03-19,Installment,3,3,5312.53,0.0,0.0,127.43,5185.1,CZK,1.7328,9205.55,8984.74,Wise,WayForPay,Completed,,,INV-2024-000010,False,CZK,False,INV-2024-000010,False,True,1.7328,ExchangeRates Exact Lookup
