ActivityID,ActivityWeek,StudentID,EnrollmentID,CourseID,Logins,ActiveDays,LessonsViewed,LessonsCompleted,HomeworkAssigned,HomeworkSubmitted,HomeworkAccepted,QuizAttempts,AverageQuizScore,VideoMinutesWatched,LiveLessonsAttended,QuestionsAsked,MentorMessages,PlatformHours,LastActivityAt,HomeworkConsistencyFlag,LastActivityAtAnomalyFlag,MissingWeeksBefore,ActivityGapBeforeFlag
ACT00000001,2024-01-14,STU000001,ENR000001,CRS0008,7.0,7,3.0,2,3,2,1,4,59.3,175.0,3,3,2,6.4,2024-01-20 10:52:47,False,False,0,False
ACT00000002,2024-01-21,STU000001,ENR000001,CRS0008,5.0,2,3.0,2,3,2,1,2,43.5,43.0,0,0,0,5.6,2024-01-27 08:40:04,False,False,0,False
ACT00000003,2024-01-28,STU000001,ENR000001,CRS0008,0.0,0,0.0,0,1,0,0,0,0.0,0.0,0,1,0,0.0,2024-01-30 19:28:50,False,False,0,False
ACT00000004,2024-01-17,STU000002,ENR000002,CRS0001,0.0,3,3.0,2,2,1,1,2,74.4,107.0,0,1,2,4.6,2024-01-18 03:11:31,False,False,0,False
ACT00000005,2024-01-24,STU000002,ENR000002,CRS0001,4.0,0,3.0,3,2,1,1,3,61.6,57.0,0,0,0,2.4,2024-01-29 05:17:54,False,False,0,False
ACT00000006,2024-01-31,STU000002,ENR000002,CRS0001,2.0,3,1.0,1,2,1,1,1,60.3,83.0,2,1,3,3.4,2024-02-06 07:30:24,False,False,0,False
ACT00000007,2024-02-07,STU000002,ENR000002,CRS0001,5.0,2,2.0,1,1,1,1,4,59.3,86.0,0,1,0,0.1,2024-02-08 22:27:04,False,False,0,False
ACT00000008,2024-02-14,STU000002,ENR000002,CRS0001,2.0,3,2.0,2,2,1,1,3,40.8,47.0,0,1,1,3.9,2024-02-19 13:44:07,False,False,0,False
ACT00000009,2024-02-21,STU000002,ENR000002,CRS0001,3.0,2,1.0,1,3,1,1,2,57.9,50.0,0,2,0,3.2,2024-02-25 10:24:01,False,False,0,False
ACT00000010,2024-02-28,STU000002,ENR000002,CRS0001,0.0,1,1.0,1,2,1,1,0,0.0,0.0,0,0,0,0.2,2024-03-04 08:12:37,False,False,0,False
ACT00000011,2024-03-06,STU000002,ENR000002,CRS0001,6.0,1,0.0,0,2,1,1,2,63.1,64.0,0,2,4,2.4,2024-03-10 14:19:09,False,False,0,False
ACT00000012,2024-03-13,STU000002,ENR000002,CRS0001,2.0,1,1.0,1,1,0,0,0,0.0,20.0,1,2,1,3.7,2024-03-15 18:07:48,False,False,0,False
ACT00000013,2024-03-20,STU000002,ENR000002,CRS0001,1.0,0,0.0,0,1,0,0,1,59.6,16.0,0,0,3,1.9,2024-03-25 06:53:40,False,False,0,False
ACT00000014,2024-03-27,STU000002,ENR000002,CRS0001,2.0,1,0.0,0,3,1,4,0,0.0,25.0,0,1,1,0.2,2024-03-30 21:14:43,True,False,0,False
ACT00000015,2024-04-03,STU000002,ENR000002,CRS0001,1.0,1,1.0,1,3,1,1,0,0.0,45.0,0,1,0,2.0,2024-04-09 03:24:31,False,False,0,False
ACT00000016,2024-02-14,STU000003,ENR000003,CRS0012,8.0,4,5.0,4,2,1,1,3,38.5,164.0,3,1,1,5.9,2024-02-19 03:25:27,False,False,0,False
ACT00000017,2024-02-21,STU000003,ENR000003,CRS0012,11.0,3,3.0,3,3,1,1,2,87.1,137.0,1,3,2,5.8,2024-02-22 02:52:48,False,False,0,False
ACT00000018,2024-02-28,STU000003,ENR000003,CRS0012,8.0,5,3.0,3,2,1,1,2,62.9,166.0,1,2,1,3.8,2024-02-28 11:11:57,False,False,0,False
ACT00000019,2024-03-06,STU000003,ENR000003,CRS0012,4.0,5,4.0,4,3,2,1,3,38.0,151.0,0,1,0,4.6,2024-03-06 20:37:41,False,False,0,False
ACT00000020,2024-03-13,STU000003,ENR000003,CRS0012,7.0,5,6.0,4,1,1,1,2,59.9,156.0,1,2,0,3.4,2024-03-13 15:15:20,False,False,0,False
ACT00000021,2024-03-20,STU000003,ENR000003,CRS0012,5.0,4,4.0,2,3,3,3,3,55.1,74.0,1,3,1,7.6,2024-03-21 21:36:49,False,False,0,False
ACT00000022,2024-03-27,STU000003,ENR000003,CRS0012,8.0,5,5.0,3,2,1,1,4,70.9,183.0,1,0,3,8.2,2024-03-28 00:38:36,False,False,0,False
ACT00000023,2024-04-03,STU000003,ENR000003,CRS0012,6.0,3,4.0,3,2,2,2,3,48.6,199.0,1,3,3,5.9,2024-04-07 16:59:06,False,False,0,False
ACT00000024,2024-04-10,STU000003,ENR000003,CRS0012,6.0,5,3.0,3,3,2,2,2,70.7,148.0,1,5,2,6.4,2024-04-13 09:28:50,False,False,0,False
ACT00000025,2024-04-17,STU000003,ENR000003,CRS0012,7.0,4,4.0,4,2,1,1,3,60.7,167.0,1,2,2,6.8,2024-04-18 00:43:53,False,False,0,False
ACT00000026,2024-04-24,STU000003,ENR000003,CRS0012,4.0,3,2.0,2,1,0,0,1,55.8,106.0,1,1,2,5.1,2024-04-27 17:59:41,False,False,0,False
ACT00000027,2024-05-01,STU000003,ENR000003,CRS0012,5.0,5,2.0,1,2,2,1,2,58.4,173.0,1,1,2,4.9,2024-05-01 19:42:29,False,False,0,False
